i;j;k;group;model;PER;CF;LNNAV;LNAGEM;OAUM;rsq;adjrsq;const
1;1;3;AKPca;FE;0.0282888164293584;;-0.000618408181656038;0.000816486501045815;-0.000229461570034121;0.0202859782617291;-0.000410383433296468;0.0489762013736895
2;2;3;MIPca;FE;;;-0.00130478774717226;0.00151096395664684;-0.000141106934674448;0.0611272527082766;0.0416511305221131;0.0506579511150796
3;1;3;AKP;FE;0.00553909753870804;;-0.000922055428796081;0.00108086192271509;-0.000232515537795269;0.0196029522939175;-0.00229057686958023;0.0527119070068565
4;2;3;AKZ;FE;;;-0.000992892887167024;0.00240258863553798;-0.000599748675820883;0.0920765142345842;0.0692342206918202;0.0508217560171171
5;2;3;MIP;FE;;;-0.00230625971896172;0.00358070591525341;-0.000268843550431146;0.0723525505583803;0.0510559335020282;0.0619969364793405
6;2;3;MIZ;FE;;;0.00394334895933322;-0.00518414573839821;-0.00147284205837905;0.0250628343617209;-0.00304105098955398;-0.00316472076588514
7;1;3;PDP;FE;;-0.000550595477147135;-0.000594007425903696;0.000553772923793211;-0.000110524977669848;0.0161057033898864;-0.00836167109839758;0.0244152398088911
8;3;3;PDZ;FE;;;-0.000783027525788433;0.00143432511795935;;0.0320258736806655;0.00316189547306023;0.0274331853885216
9;2;3;RPP;FE;;-0.000141539510776707;-0.00115829262765472;0.00116278684736732;;0.10208982826793;0.0801252937343663;0.027944785095132
10;3;3;ARN;FE;;;-0.0011375390151395;;-0.00253679791216377;0.0634030092359311;0.0343710270424358;0.0600337446618102
